text,date
"Dear Sam “Porter” Bridges in the world, good morning. Many of you starts delivering mission from today, in this cold weather. Take good care of yourself. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding??????
#TomorrowIsInYourHands https://t.co/IBUQPQTOJE",2020/1/6 10:07
Bit scary when no one’s here. https://t.co/VSmmWfKYfr,2020/1/6 10:02
"I search books that can be used for reference by looking at the table of contents. However there’re few chances that the book gives me the answer. Surely the best way is to research on my own but that comes after I narrow the range down. First, I need to learn more expertise.",2020/1/5 10:10
I kinda read thru few books (non fiction and science related) for reference to my next concept building but neither of them is not really interested enough to hit me. Now I’m going back to read my hobby book.,2020/1/5 10:01
"Found in my iPhone, the sketch by Yoji Shinkawa from early days of DS concept period. At that time there was no written script so I just verbally explained what the warriors space is like to him. We used to call it DEAD STRANDING as another name. https://t.co/W2dxo4T4pT",2020/1/5 9:57
"From Jan 9th, Saul Leiter comes back! https://t.co/5SlpgJMYOz",2020/1/3 18:02
"“Future and the Arts: AI, Robotics, Cities, Life - How Humanity Will Live Tomorrow” https://t.co/Ad4DZTcdxW",2020/1/2 17:45
"We’ll have Tokyo Olympic in the year of 2020, and also the extreme change in entertainment industry will come in next 10 years with the arrival of the streaming and AI. I’d like to create something related to such new media and totally brand new entertainment for the tomorrow. https://t.co/z0F3ClTzVt",2020/1/1 18:33
"Happy New Year. Hope you’ll have a wonderful year in 2020. 
After I made the 1st footstep with DEATH STRANDING last year, I would like to make another 1st and 2nd footstep this year. Hoping those trajectory will create the path. https://t.co/eRs7ntesij",2020/1/1 8:41
"Dear Sam “Porter” Bridges in the world, thanks for delivering last packages at the end of the year 2019.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/ziEF0eN1nL",2019/12/31 18:25
"I recommend Long Shot that I saw on the plane. It made me cry at the end. In 80’s, the love romance comedy was popular in Japan and those movies used to come to Japan soon after the US release but these days not so much make it to the theater unfortunately. Except this movie! https://t.co/lo6UPommWS",2019/12/31 10:26
"Read a lot of novels in 2019. I was hooked by Karin Slaughter in the beg of the year then since reading The Three-Body Problem made me wanna read Sakyo Komatsu (the way of storytelling was resemble!) I read his novels. In the end of 2019, I was hooked by Seiichiro Oyama’s novels.",2019/12/31 9:52
"I remember the welcome cookies I received 4 years ago right after I became independent. 

Thank you very much. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/hJa2z8xutI",2019/12/30 19:09
"Ragnar J´onasson’s The Darkness. As mentioned in the comment, I also thought this is it at the beginning. Maybe the strongest among others I read this year. While AS series is peaked from the darkness this story soaks the darkness from outside. This darkness has no light/shadow. https://t.co/yUTHVvBuYD",2019/12/30 19:07
"My TOP10 of the movies in 2019
1. Parasite 
2. Border
3. The Irishman 
4. The Elephant Sitting Still
5. COLD WAR
The rest in random order:
The house that Jack Built
Capharnaum
Spider- Man: Into the Spider-Verse
Joker
Marriage Story
The best Japanese is Kimi To Nami Ni Noretara. https://t.co/XxFk5PyNcc",2019/12/30 18:26
"Dear Sam “Porter” Bridges in the world, thanks for doing the year end delivery mission, connecting chiral network, building construction and highway. Take care of yourself. 
TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/OPlHtKHs9w",2019/12/26 16:03
Christie collection updated. https://t.co/R30Qj9YdlC,2019/12/26 16:01
Bought. https://t.co/Kpdy3f11Jl,2019/12/26 0:29
"In DS, bell sounds are made, when the snow falls. This is homage of white Christmas in “Die Hard”. (as being a Christmas movie. )",2019/12/25 12:56
"Dear Sam “Porter” Bridges in the world, thanks for making deliveries on the Christmas Eve. Take care of yourself. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/MvszcSS38J",2019/12/24 21:19
"While I was writing the concept for the next project I found the old documents in my computer, I miss those early days of working on DS presentation doc. https://t.co/ZnSSXwslr9",2019/12/24 21:17
"Even though it has various elements included, to me both MGS and DS are all Sci-Fi. https://t.co/HE6RokOOH3",2019/12/24 21:15
"The Sam’s key visual released at E3 2018. Sam having a break holding BB in his arms on this desolated land. You may haven’t noticed but if you take a look at now it surely looks exactly the DS, right? 

TOMORROW IS IN YOUR HANDS.

#DeathStranding?????
#TomorrowIsInYourHands https://t.co/cmrIKshsmt",2019/12/24 15:52
"It’s delivery season. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/aC6koSkNNC",2019/12/24 15:47
Maybe I was too tired I slept over this morning. I wanted to go see Last Christmas 1st thing in the morning but realized today was Christmas Eve. Me as an old man going to the theater by myself on this day? I changed my plan to stay in my office working on my next concept. https://t.co/6dleNPEJmJ,2019/12/24 12:04
"As I was asked to write columns about movies/tv program on streaming I ought to watch those. “6 Underground” was one of the few that I saw a commercial of. As Cuaron and Scorsese gone to work with Netflix Original and then Michael Bay has joined too, I’m going to watch it. https://t.co/JUWl82YsXM",2019/12/24 10:37
Good morning https://t.co/ZcfN3kzUf0,2019/12/24 10:23
I want to see this but not available in Japan yet? https://t.co/OUHokKDmZt,2019/12/23 23:59
Working on the next concept while no one is in the office. https://t.co/1zIeo5nnBo,2019/12/23 18:04
"Watched A Shaun the Sheep MOVIE: FARMAGEDDON. Telling story with visuals and songs to bring laughs and various emotions instead of using dialogue, that’s the real pleasure of the film. Great music sense of using OUT OF CONTROL by Chemical Brothers with Bernard Sumner. https://t.co/Eu10a4HhnG",2019/12/22 18:33
"My top 5 films in 2019:
1. Parasite 
2. Border
3. The Irishman 
4. A Elephant Sitting Still
5. Cold War 
The rest on random order:
The House That Jack Built
Capharnaum
Spider- Man: Into the Spider-Verse
Joker
Marriage Story https://t.co/FqNmEqlRhQ",2019/12/22 12:59
Well at the end I bought both limited and normal version of pamphlet. Now I’m going to watch STAR WARS THE RISE OF SKY WALKER. https://t.co/ZVgQm1asvp,2019/12/21 18:44
"My top 5 films this year.
1. Parasite 
2. Border
3. The Irishman 
4. A Elephant Sitting Still
5. Cold War https://t.co/FoeWleP7aQ",2019/12/21 10:38
1/1size BB Pod connected to BB in the game modified by Sunao Hashimoto from Meiji University and Tomu Kawata. https://t.co/nKoMqaGr6b,2019/12/20 21:35
"Dear Sam ""Porter"" Bridges in the world, thanks for delivering packages. It has been 6 weeks since the launch. Pls enjoy connecting people this weekend and holiday season.Thank you
TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding    
#TomorrowIsInYourHands https://t.co/eWHNvPdOIf",2019/12/20 11:22
Good morning https://t.co/njjQkRxZDa,2019/12/20 8:45
"Finally I was able to watch the special feature of “Sakyo Komatsu in 100 mins” on BD which was given to me a while ago. Thank you very much, now I’m going to watch MARRIGE STORY. https://t.co/Tuqp6UokAG",2019/12/20 7:41
"This Album of GRIMM GRIMM’s CLIFFHANGER that I received from an Aussie friend was astonishingly good! Delicate, beautiful, my kind of music. He’s a Japanese artist living in London, this was the album from last year. I wish I could go his performance tonight in Shimokitazawa. https://t.co/DDh0M4op7s",2019/12/18 16:27
Bought Capricorn 1 on BD. https://t.co/ilCjAiBTOJ,2019/12/18 8:23
"Thank you very much for coming Kojima Productions fan event, hope you had a good time. https://t.co/yZQtBsRc3Z",2019/12/17 22:44
"Visited PRIME1.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/4m1U8c5eTC",2019/12/17 17:34
It’s time of the year JJ ships the holiday gift for us. Thank you I’ll make sure to build. https://t.co/2Aux1wYpx3,2019/12/17 17:33
"Received the year-end gift from Silent Poets, thank you very much. https://t.co/1sdNBmxGZE",2019/12/17 14:43
