text,date
"@KennyDegu very very little volume. With $10T you'd think they could have $SPX  trading at 10,000 by now.",2020/4/9 23:59
"#ES_F achieved Target 2780 closing above 50% #Fibonacci  level, momentum still up. possible push towards 2842-2886 next week. $SPX $SPY  #tradign #futures https://t.co/wD2A0102nC",2020/4/9 23:58
RT @KimbleCharting: Silver/Gold indicator creates one of the largest bullish reversal patterns in decades while testing multi-decade suppor…,2020/4/9 23:58
@Issaquahfunds Hedged our $MSFT position into close. Seemed to be getting lazy over this past week.,2020/4/9 23:58
RT @zipillinois: 3 Surprisingly Controversial Stocks in Donald Trump's Portfolio @themotleyfool #stocks $GILD $MO https://t.co/d9hlJnSRN3,2020/4/9 23:57
"RT @Crypto____World: 🇿🇼ZIMBABWE🇿🇼

CRYPTO NEWS🌍

Government teams up with Apollo to launch national cryptocurrency🌍

#apollocurrency #crypt…",2020/4/9 23:57
Pfizer Shares Acquired by Ipswich Investment Management $PFE https://t.co/gqXxIbbxIS,2020/4/9 23:57
"RT @NorthmanTrader: I repeat: The Fed is recklessly distorting everything.
$JNK $SPX https://t.co/fDHaY5MKUW",2020/4/9 23:57
"S&amp;P 500 | $SPX | $SPX500 $USD

long term from 1940

Long or short it with BTC on Trade8: https://t.co/Yn1Wyxwotl https://t.co/TU21nc1eA5",2020/4/9 23:57
"RT @TDANetwork: 📽️ #TheWatchList panel assesses the big questions $AAPL will face over the next 6 months. 🍎📱

@LanceUlanoff and @mattswider…",2020/4/9 23:56
"$UMRX bouncing. EXTREMELY OVERSOLD #Coronavirus💸
$DECN $OPGN $CODX $HTBX $TNXP $BA $APRN $JNUG $PCTL $BIEI $AAPL $NBY $UBER $WTRH $NOVN $TSLA $XSPA $INO $ASTC $MRNA $GPMT $SPXS $SPY $QQQ $NUGT $BURG $VXRT $TVIX $IBIO $ACB $TLRY $CLIR $BKYI $TOPS $NVAX $GME $TTOO $AYTU $TNXP💸📈 https://t.co/1R1e8PlfMw",2020/4/9 23:56
RT @cloudymeadows: Somebody needs to have an adult conversation with Sen.Kevin Cramer (R-ND) &amp; tell that asshole to his face that it’s not…,2020/4/9 23:56
Editor's Choice: Three Deals Needed ahead of Holiday Weekend  @marcmakingsense $FXY $FXA $SPX $OIL $FXB $ACWI $FXE https://t.co/ozXzTbD8dM,2020/4/9 23:56
I can't stand this #Facebook commercial that keeps replaying on the @CNBC app. Such a phony company... $FB.,2020/4/9 23:56
If they have ‘em you should too. Stocks to own. #warrenbuffet #billgates #kevinoleary #mrwonderful #stocks #stockmarket #investing https://t.co/vIEzRQPx5c,2020/4/9 23:56
Treasury Secretary Mnuchin says US could be open for business in May from @CNBC $spx $ndx $biib $mrna $bntx $amzn $cost $wmt $gild https://t.co/eup9IRFyVZ,2020/4/9 23:55
Analysts Anticipate Progressive Corp $PGR to Announce $1.46 Earnings Per Share https://t.co/rOgsbz1Ra1 #stocks,2020/4/9 23:55
$0.59 EPS Expected for NRG Energy Inc $NRG This Quarter https://t.co/IKsTtscLrU #stocks,2020/4/9 23:55
Brokerages Expect Drive Shack Inc $DS Will Announce Earnings of -$0.06 Per Share https://t.co/VPXpnacdqe #stocks,2020/4/9 23:55
Analysts Anticipate Boston Private Financial Hldg Inc $BPFH to Post $0.16 Earnings Per Share https://t.co/jMcGVT0Hfn #stocks,2020/4/9 23:55
Zacks: Brokerages Anticipate Fastenal $FAST Will Post Earnings of $0.34 Per Share https://t.co/mloI4GRLE7 #stocks,2020/4/9 23:55
Brokerages Expect Agilent Technologies Inc $A to Announce $0.60 Earnings Per Share https://t.co/pvqnqfKufn #stocks,2020/4/9 23:55
Centurylink Inc $CTL Expected to Announce Earnings of $0.36 Per Share https://t.co/Jpt9cKDxDY #stocks,2020/4/9 23:55
Zacks: Brokerages Anticipate CVB Financial Corp. $CVBF to Post $0.32 Earnings Per Share https://t.co/sVuLkKuUg6 #stocks,2020/4/9 23:55
https://t.co/F3sTCv56Q2 Ltd $CYOU Expected to Announce Earnings of $0.71 Per Share https://t.co/B6ialx9ncm #stocks,2020/4/9 23:55
"Guess?, Inc. $GES Expected to Post Earnings of -$0.83 Per Share https://t.co/Vm3heWjwud #stocks",2020/4/9 23:55
"-$0.06 EPS Expected for TETRA Technologies, Inc. $TTI This Quarter https://t.co/6M7JZ3e3CX #stocks",2020/4/9 23:55
"FSD Pharma begins Clinical Trials Phase 1 in Australia 

https://t.co/9NBZl4cjk3 

#Pharma #Biotech #Nyse #Nasdaq  $PFE $GILD $JNJ $RO",2020/4/9 23:55
"$AAPL 4h/1h

Sometimes these wedges break higher, but rarely in a bear market (if we are in fact still in one). 

The last high today was divergent. https://t.co/WkYZiryzS9",2020/4/9 23:55
"This week's Expired Signals are now published (*early*). 🧠
https://t.co/iPwC1npzlP

APR20 WK2 Stocks
$TGT
$DG
$MCD
$EMB
$CMCSA
$AMZN
$AAPL
$SPY

APR20 WK2 Forex
$EURAUD
$CHFJPY
$EURUSD
$EURGBP
$AUDJPY
$XAUUSD
$EURCHF",2020/4/9 23:54
"$SPY $QQQ $VXX $AAPL $BA $MSFT

Guys, I figured it out. here is what's gonna happen to the market over the next couple of weeks! https://t.co/1s1KJI23Bm",2020/4/9 23:54
"#tradeitforward MTI's Ask An Analyst with Chris Pulver, Gary Fichardt, Tyson Clayton - https://t.co/7SqFOkH15J

100% FREE and FUN - great content for traders.

#MTI #markettraders #stocks #forex #trading #tradingstrategy #WallStreet #CoronavirusOutbreak #SocialDistancing https://t.co/BA4HZIX0zP",2020/4/9 23:54
"RT @exis10tial: China’s “second wave” of #COVID19 appears benign (to the extent the data can be validated)..

$SPX https://t.co/Htowen4cYj",2020/4/9 23:54
$SPX chart with notes https://t.co/Kq3uissfzq,2020/4/9 23:54
2020-04-08 Short sale volume (not short interest) for $ABT is 56%. https://t.co/lpCa2LbGwi $JNJ 48% $TMO 49% $MDT 43% $PFE 34%,2020/4/9 23:54
