Tweet,Created Date,Retweets,Favourites,Engagement,No of Hashtags,No of User Mentions,No of URLS added,No of Media added,Tweeted Username,Replied To Username,Post Type,Media Type,Is Quote Tweet,Is Retweeted,Language,Country,Location,Location Full Name,Location Type,Hashtags,User Mentions,URLS Used,Media URLS,Name,Username,Created Date (Handles) ,Language (Handles) ,Tweets,Followers,Friends,Favourites (Handles) ,Listed Count,Location (Handles) ,Protected,Verified,URL,Description,Profile Image URL,Account Age in Days,Avg Tweets per day
"Dear Sam “Porter” Bridges in the world, good morning. Many of you starts delivering mission from today, in this cold weather. Take good care of yourself. 

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding??????
#TomorrowIsInYourHands https://t.co/IBUQPQTOJE",2020/1/6 10:07,962,7200,8162,4,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/ENj11yQUwAEsqXb.jpg,http://pbs.twimg.com/media/ENj11yRU8AAyVkX.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
Bit scary when no one’s here. https://t.co/VSmmWfKYfr,2020/1/6 10:02,296,5241,5537,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ENj0z7cUcAAPkDF.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"I search books that can be used for reference by looking at the table of contents. However there’re few chances that the book gives me the answer. Surely the best way is to research on my own but that comes after I narrow the range down. First, I need to learn more expertise.",2020/1/5 10:10,93,1382,1475,0,0,0,0,HIDEO_KOJIMA_EN,,Original Tweet,Text,いいえ,いいえ,English,,,,,,,,,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
I kinda read thru few books (non fiction and science related) for reference to my next concept building but neither of them is not really interested enough to hit me. Now I’m going back to read my hobby book.,2020/1/5 10:01,301,5855,6156,0,0,0,0,HIDEO_KOJIMA_EN,,Original Tweet,Text,いいえ,いいえ,English,,,,,,,,,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Found in my iPhone, the sketch by Yoji Shinkawa from early days of DS concept period. At that time there was no written script so I just verbally explained what the warriors space is like to him. We used to call it DEAD STRANDING as another name. https://t.co/W2dxo4T4pT",2020/1/5 9:57,890,6808,7698,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ENep_7rU0AAx3F0.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"From Jan 9th, Saul Leiter comes back! https://t.co/5SlpgJMYOz",2020/1/3 18:02,55,801,856,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/ENWFxPMU8Ac2Bpc.jpg,http://pbs.twimg.com/media/ENWFxPMU8AAVK8q.jpg,http://pbs.twimg.com/media/ENWFxPOVUAAJLPA.jpg,http://pbs.twimg.com/media/ENWFxPMUwAIy3fw.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"“Future and the Arts: AI, Robotics, Cities, Life - How Humanity Will Live Tomorrow” https://t.co/Ad4DZTcdxW",2020/1/2 17:45,255,2422,2677,0,0,0,4,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,"http://pbs.twimg.com/media/ENQ4aGgUEAA-P2s.jpg,http://pbs.twimg.com/media/ENQ4aGyVAAAMwEN.jpg,http://pbs.twimg.com/media/ENQ4aGmUEAACGGK.jpg,http://pbs.twimg.com/media/ENQ4aGoU0AEg8Dx.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"We’ll have Tokyo Olympic in the year of 2020, and also the extreme change in entertainment industry will come in next 10 years with the arrival of the streaming and AI. I’d like to create something related to such new media and totally brand new entertainment for the tomorrow. https://t.co/z0F3ClTzVt",2020/1/1 18:33,1344,15004,16348,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ENL5yeXU8AAVWyf.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Happy New Year. Hope you’ll have a wonderful year in 2020. 
After I made the 1st footstep with DEATH STRANDING last year, I would like to make another 1st and 2nd footstep this year. Hoping those trajectory will create the path. https://t.co/eRs7ntesij",2020/1/1 8:41,2233,15523,17756,0,0,0,1,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,,,,http://pbs.twimg.com/media/ENJyQ7zUEAAg-54.jpg,HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
"Dear Sam “Porter” Bridges in the world, thanks for delivering last packages at the end of the year 2019.

TOMORROW IS IN YOUR HANDS.

#デスストでつながれ
#デススト
#DeathStranding?????
#TomorrowIsInYourHands https://t.co/ziEF0eN1nL",2019/12/31 18:25,265,2129,2394,4,0,0,2,HIDEO_KOJIMA_EN,,Original Tweet,Photo,いいえ,いいえ,English,,,,,"デスストでつながれ,デススト,DeathStranding,TomorrowIsInYourHands",,,"http://pbs.twimg.com/media/ENGuSCSU8AA6hzA.jpg,http://pbs.twimg.com/media/ENGuSCOUcAAxbEi.jpg",HIDEO_KOJIMA,HIDEO_KOJIMA_EN,2010/2/26 14:25,Undetermined,39852,2875540,166,315,7489,,いいえ,はい,https://t.co/LWimWZQuVR,Game Creator: 70% of my body is made of movies.,http://pbs.twimg.com/profile_images/914211724412166144/Bf2Yij9b_normal.jpg,3602,11.0639
